0,232,HAEDSE1271887375,5/20/2016 00:00,191782,No brakes
1,87,ZAIWSE9730973323,10/17/2016 00:00,62288,The wheel does not turn right
2,21,RJBMKY7364717712,2/12/2016 00:00,137398,Burns too much gas
3,234,PJILTP5532102960,1/1/2016 00:00,107264,The wheel does not turn right
4,499,IGSCTT8349812312,7/9/2016 00:00,145437,No brakes
5,99,ELBWIE1987678371,8/17/2016 00:00,181150,Change oil
6,26,LENKIX8663195622,1/11/2016 00:00,132465,The wheel does not turn right
7,231,YKVYBL8939219369,5/5/2016 00:00,118544,It smells funny
8,56,WSBCPQ1225513359,11/26/2016 00:00,195370,I cannot hear the radio
9,267,YOVGUD7436176393,3/9/2016 00:00,116976,No brakes
10,441,HOGXRY2825438429,8/23/2016 00:00,227951,It smells funny
11,242,IATVYT2165279731,11/6/2016 00:00,170842,Passenger side is always empty
12,8,SPMCMK1978788063,3/26/2016 00:00,225827,Replace windows
13,442,JYVRSG1596481769,2/22/2016 00:00,210338,Add rockets
14,434,PKYUEG4634983641,7/15/2016 00:00,72703,The wings do not work
15,291,PXDMHT7273174072,5/5/2016 00:00,179282,It smells funny
16,295,ZUEILX6715919853,8/15/2016 00:00,72156,Burns too much gas
17,398,LSDKZX4730519878,4/12/2016 00:00,165064,Add rockets
18,315,JUODWO2419273122,5/28/2016 00:00,95137,Replace windows
19,285,QKVNQP6545376643,5/3/2016 00:00,150826,It smells funny
20,58,VSAVON1235848517,9/11/2016 00:00,102721,Needs new parachute
21,428,HSLUIA6832184132,3/9/2016 00:00,163546,Needs new parachute
22,114,UZBQXW9482291649,5/8/2016 00:00,122106,Burns too much gas
23,172,AJCPSF6658705581,8/11/2016 00:00,28830,I cannot hear the radio
24,111,CJMFLR8865803027,11/20/2016 00:00,91662,Passenger side is always empty
25,425,JIYFIN3543467510,5/13/2016 00:00,118642,I cannot hear the horn
26,52,UNLDQA9763914452,7/26/2016 00:00,209126,Change oil
27,302,TVNMFE9589617399,7/7/2016 00:00,30669,The wheel does not turn right
28,7,KOXCZW2295774640,12/8/2016 00:00,155436,Burns too much gas
29,245,XADPCK4967272424,2/26/2016 00:00,131846,Change oil
30,323,XPHKJN9412198078,2/16/2016 00:00,96206,The wings do not work
31,355,LSRCPS4466673113,12/9/2016 00:00,125466,Passenger side is always empty
32,393,CQQPRQ6899865130,1/8/2016 00:00,53238,It smells funny
33,400,WHLLGV1383773832,10/29/2016 00:00,182098,The wings do not work
34,492,RNNUES2532842042,1/10/2016 00:00,80983,Passenger side is always empty
35,127,AYFDER2477607627,2/27/2016 00:00,144724,The wings do not work
36,440,ZXMLHT1620318623,2/5/2016 00:00,86683,It smells funny
37,71,ULGPSP3021613140,7/19/2016 00:00,124977,Needs new parachute
38,250,RNZCDM5858351323,4/20/2016 00:00,120599,Needs new parachute
39,298,QAWLFH8589266653,8/3/2016 00:00,196072,The wings do not work
40,304,HUWPHM5794654158,10/28/2016 00:00,222694,It is not fast enough
41,166,EFFCBU5060482253,11/19/2016 00:00,199115,I cannot hear the radio
42,443,WWTULY2781242633,2/22/2016 00:00,188394,Change oil
43,253,WJSKXH4821883361,10/11/2016 00:00,149013,Add rockets
44,17,QIRCRL2613905070,3/21/2016 00:00,130827,I cannot hear the radio
45,62,EDFWNR6939514650,7/1/2016 00:00,187388,The wheel does not turn right
46,317,TOUIEG1051996149,5/10/2016 00:00,49476,No brakes
47,417,TDNNXC1743778289,4/5/2016 00:00,33152,The wheel does not turn right
48,216,XURHIY1121531777,7/10/2016 00:00,127766,The wings do not work
49,11,LWEEIV4373711147,12/3/2016 00:00,181527,The wings do not work
50,30,FNKBIP5659221697,7/21/2016 00:00,192670,It smells funny
51,256,EBLSTL6762888862,3/13/2016 00:00,148086,It came back from space and it makes a funny noise
52,434,PKYUEG4634983641,3/26/2016 00:00,158664,Add rockets
53,410,MAIXTM1019831117,11/7/2016 00:00,126937,Needs new parachute
