1,1,230,10/22/2016 00:00,We lost your car,96
2,2,215,2/18/2016 00:00,We changed the color,592
3,3,34,1/5/2016 00:00,This is a bicycle,77
4,4,204,7/10/2016 00:00,This is a bicycle,976
5,5,11,8/22/2016 00:00,Changed Oil,481
6,6,104,1/14/2016 00:00,Breaks are ok,278
7,7,144,5/5/2016 00:00,Breaks are ok,789
8,8,137,11/26/2016 00:00,We lost your car,134
9,9,8,3/13/2016 00:00,Needs new Tires,468
10,10,184,8/25/2016 00:00,Fixed!!!,407
11,11,171,11/12/2016 00:00,This is a bicycle,510
12,12,246,3/28/2016 00:00,Fixed!!!,416
13,13,202,2/27/2016 00:00,Good Luck,763
14,14,242,7/21/2016 00:00,We lost your car,71
15,15,0,5/10/2016 00:00,Breaks are ok,394
16,16,171,8/19/2016 00:00,You are missing an engine,664
17,17,5,4/13/2016 00:00,This is a bicycle,394
18,18,225,5/29/2016 00:00,We changed the color,853
19,19,73,5/8/2016 00:00,Changed Oil,665
20,20,237,9/15/2016 00:00,We lost your car,120
21,21,137,3/14/2016 00:00,Buy a new Car,711
22,22,35,5/10/2016 00:00,We changed the color,778
23,23,123,8/17/2016 00:00,Change Roof,479
24,24,171,11/21/2016 00:00,Needs new Tires,515
25,25,190,5/17/2016 00:00,Fixed!!!,473
26,26,65,8/2/2016 00:00,Change Roof,792
27,27,195,7/12/2016 00:00,I do not know,522
28,28,115,12/15/2016 00:00,We lost your car,56
29,29,18,3/2/2016 00:00,We changed the color,545
30,30,31,2/23/2016 00:00,Fixed!!!,331
31,31,249,12/11/2016 00:00,We changed the color,550
32,32,214,1/10/2016 00:00,I do not know,134
33,33,217,10/29/2016 00:00,Needs new Tires,503
34,34,83,1/13/2016 00:00,You are missing an engine,115
35,35,137,3/2/2016 00:00,Good Luck,316
36,36,210,2/8/2016 00:00,This is a bicycle,83
37,37,102,7/22/2016 00:00,Fixed!!!,614
38,38,53,4/25/2016 00:00,We changed the color,832
39,39,219,8/5/2016 00:00,Breaks are ok,986
40,40,55,10/28/2016 00:00,Good Luck,351
41,41,18,11/22/2016 00:00,Change Roof,309
42,42,239,2/28/2016 00:00,Good Luck,878
43,43,80,10/12/2016 00:00,Good Luck,553
44,44,215,3/23/2016 00:00,Made it faster,775
45,45,212,7/8/2016 00:00,We lost your car,632
46,46,106,5/11/2016 00:00,Change Roof,755
47,47,175,4/9/2016 00:00,Change Roof,300
48,48,227,7/12/2016 00:00,Good Luck,592
49,49,133,12/8/2016 00:00,We lost your car,612
50,50,34,7/28/2016 00:00,Made it faster,463
51,51,179,3/20/2016 00:00,We lost your car,390
52,52,23,4/2/2016 00:00,Good Luck,649
53,53,76,11/12/2016 00:00,Made it faster,810
54,54,205,3/22/2016 00:00,We changed the color,562
55,55,85,7/6/2016 00:00,Change Roof,968
56,56,132,5/28/2016 00:00,We lost your car,362
57,57,34,4/7/2016 00:00,We changed the color,470
